Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,raw_project_ids,source_count,source_flags
Noupoort Wind Farm,Wind,Onshore,PP,South Africa,80.0,,2016.0,,,-31.1736,25.0165,,,,,{nan},"{'GWPT': {'G100000900049'}, 'GPD': {'WRI1061302'}, 'GEO': {'GEO-46163'}}","{'GWPT': {'G100000900049'}, 'GPD': {'WRI1061302'}, 'GEO': {'GEO-46163'}}",1,ppm
Kalkbult Solar Farm,Solar,PV,PP,South Africa,75.0,,2013.0,,,-30.1607,24.1349,,,,,{nan},"{'GSPT': {'G100000800194'}, 'GPD': {'WRI1026045'}, 'GEO': {'GEO-44626'}}","{'GSPT': {'G100000800194'}, 'GPD': {'WRI1026045'}, 'GEO': {'GEO-44626'}}",1,ppm
Koeberg 1,Nuclear,Steam Turbine,PP,South Africa,970.0,,1984.0,,,-33.6746,18.4321,,,,,{nan},"{'GNPT': {'G100000500317'}, 'GPD': {'WRI1000137'}, 'GEO': {'GEO-3880'}}","{'GNPT': {'G100000500317'}, 'GPD': {'WRI1000137'}, 'GEO': {'GEO-3880'}}",1,ppm
Drakensberg,Hydro,Pumped Storage,Storage,South Africa,1000.0,,1981.0,,,-28.566,29.0834,,,,,{nan},"{'GHPT': {'G100000603350'}, 'GPD': {'WRI1000120'}, 'GEO': {'GEO-2974'}}","{'GHPT': {'G100000603350'}, 'GPD': {'WRI1000120'}, 'GEO': {'GEO-2974'}}",1,ppm
Gariep,Hydro,Reservoir,PP,South Africa,360.0,,1971.0,,,-30.6233,25.5067,,,,,{nan},"{'GHPT': {'G100000603351'}, 'GPD': {'WRI1000121'}, 'GEO': {'GEO-3269'}}","{'GHPT': {'G100000603351'}, 'GPD': {'WRI1000121'}, 'GEO': {'GEO-3269'}}",1,ppm
Palmiet,Hydro,Pumped Storage,Storage,South Africa,400.0,,1988.0,,,-34.1985,18.9746,,,,,{nan},"{'GHPT': {'G100000603353'}, 'GPD': {'WRI1000132'}, 'GEO': {'GEO-4683'}}","{'GHPT': {'G100000603353'}, 'GPD': {'WRI1000132'}, 'GEO': {'GEO-4683'}}",1,ppm
Vanderkloof,Hydro,Reservoir,PP,South Africa,240.0,,1976.0,,,-29.9911,24.7317,,,,,{nan},"{'GHPT': {'G100000603356'}, 'GPD': {'WRI1000136'}, 'GEO': {'GEO-5911'}}","{'GHPT': {'G100000603356'}, 'GPD': {'WRI1000136'}, 'GEO': {'GEO-5911'}}",1,ppm
Acacia,Oil,Steam Turbine,PP,South Africa,171.0,0.303,1976.0,,,-33.883115,18.535834,,,,,"{nan, nan, nan}","{'GGPT': {'G100000411352', 'G100000411353', 'G100000411354'}, 'GPD': {'WRI1000115'}, 'GEO': {'GEO-1978'}}","{'GGPT': {'G100000411352', 'G100000411353', 'G100000411354'}, 'GPD': {'WRI1000115'}, 'GEO': {'GEO-1978'}}",1,ppm
Ankerlig,Oil,Steam Turbine,PP,South Africa,1338.3,,2007.0,,,-33.589479,18.461496,,,,,"{nan, nan, nan, nan, nan, nan, nan, nan, nan}","{'GGPT': {'G100000414356', 'G100000414351', 'G100000414353', 'G100000408556', 'G100000414357', 'G100000414352', 'G100000414354', 'G100000414355', 'G100000413925'}, 'GPD': {'WRI1000116'}, 'GEO': {'GEO-2129'}}","{'GGPT': {'G100000414356', 'G100000414351', 'G100000414353', 'G100000408556', 'G100000414357', 'G100000414352', 'G100000414354', 'G100000414355', 'G100000413925'}, 'GPD': {'WRI1000116'}, 'GEO': {'GEO-2129'}}",1,ppm
Gourikwa,Oil,Steam Turbine,PP,South Africa,740.0,,2007.0,,,-34.166755,21.960715,,,,,"{nan, nan, nan, nan, nan}","{'GGPT': {'G100000410887', 'G100000410886', 'G100000408557', 'G100000410885', 'G100000410884'}, 'GPD': {'WRI1000122'}, 'GEO': {'GEO-3357'}}","{'GGPT': {'G100000410887', 'G100000410886', 'G100000408557', 'G100000410885', 'G100000410884'}, 'GPD': {'WRI1000122'}, 'GEO': {'GEO-3357'}}",1,ppm
